date,sku_id,store_id,forecast_horizon,forecast_units
2025-12-31,WL-SKU-001,Store_01,30day,34
2025-12-31,WL-SKU-001,Store_02,30day,40
2025-12-31,WL-SKU-001,Store_03,30day,32
2025-12-31,WL-SKU-001,Store_04,30day,46
2025-12-31,WL-SKU-001,Store_05,30day,36
2025-12-31,WL-SKU-001,Store_06,30day,42
2025-12-31,WL-SKU-001,Store_07,30day,37
2025-12-31,WL-SKU-001,Store_08,30day,40
2025-12-31,WL-SKU-001,Store_09,30day,40
2025-12-31,WL-SKU-001,Store_10,30day,35
2025-12-31,WL-SKU-001,Store_11,30day,47
2025-12-31,WL-SKU-001,Store_12,30day,44
2025-12-31,WL-SKU-001,Store_13,30day,47
2025-12-31,WL-SKU-001,Store_14,30day,46
2025-12-31,WL-SKU-001,Store_15,30day,42
2025-12-31,WL-SKU-001,Store_16,30day,46
2025-12-31,WL-SKU-001,Store_17,30day,33
2025-12-31,WL-SKU-001,Store_18,30day,35
2025-12-31,WL-SKU-001,Store_19,30day,32
2025-12-31,WL-SKU-001,Store_20,30day,37
2026-01-01,WL-SKU-001,Store_01,30day,34
2026-01-01,WL-SKU-001,Store_02,30day,40
2026-01-01,WL-SKU-001,Store_03,30day,32
2026-01-01,WL-SKU-001,Store_04,30day,46
2026-01-01,WL-SKU-001,Store_05,30day,36
2026-01-01,WL-SKU-001,Store_06,30day,42
2026-01-01,WL-SKU-001,Store_07,30day,37
2026-01-01,WL-SKU-001,Store_08,30day,40
2026-01-01,WL-SKU-001,Store_09,30day,40
2026-01-01,WL-SKU-001,Store_10,30day,35
2026-01-01,WL-SKU-001,Store_11,30day,47
2026-01-01,WL-SKU-001,Store_12,30day,44
2026-01-01,WL-SKU-001,Store_13,30day,47
2026-01-01,WL-SKU-001,Store_14,30day,46
2026-01-01,WL-SKU-001,Store_15,30day,42
2026-01-01,WL-SKU-001,Store_16,30day,46
2026-01-01,WL-SKU-001,Store_17,30day,33
2026-01-01,WL-SKU-001,Store_18,30day,35
2026-01-01,WL-SKU-001,Store_19,30day,32
2026-01-01,WL-SKU-001,Store_20,30day,37
2026-01-02,WL-SKU-001,Store_01,30day,36
2026-01-02,WL-SKU-001,Store_02,30day,43
2026-01-02,WL-SKU-001,Store_03,30day,34
2026-01-02,WL-SKU-001,Store_04,30day,50
2026-01-02,WL-SKU-001,Store_05,30day,39
2026-01-02,WL-SKU-001,Store_06,30day,45
2026-01-02,WL-SKU-001,Store_07,30day,40
2026-01-02,WL-SKU-001,Store_08,30day,43
2026-01-02,WL-SKU-001,Store_09,30day,43
2026-01-02,WL-SKU-001,Store_10,30day,37
2026-01-02,WL-SKU-001,Store_11,30day,51
2026-01-02,WL-SKU-001,Store_12,30day,47
2026-01-02,WL-SKU-001,Store_13,30day,50
2026-01-02,WL-SKU-001,Store_14,30day,49
2026-01-02,WL-SKU-001,Store_15,30day,45
2026-01-02,WL-SKU-001,Store_16,30day,50
2026-01-02,WL-SKU-001,Store_17,30day,36
2026-01-02,WL-SKU-001,Store_18,30day,38
2026-01-02,WL-SKU-001,Store_19,30day,34
2026-01-02,WL-SKU-001,Store_20,30day,40
2026-01-03,WL-SKU-001,Store_01,30day,39
2026-01-03,WL-SKU-001,Store_02,30day,45
2026-01-03,WL-SKU-001,Store_03,30day,36
2026-01-03,WL-SKU-001,Store_04,30day,53
2026-01-03,WL-SKU-001,Store_05,30day,41
2026-01-03,WL-SKU-001,Store_06,30day,48
2026-01-03,WL-SKU-001,Store_07,30day,42
2026-01-03,WL-SKU-001,Store_08,30day,45
2026-01-03,WL-SKU-001,Store_09,30day,46
2026-01-03,WL-SKU-001,Store_10,30day,39
2026-01-03,WL-SKU-001,Store_11,30day,53
2026-01-03,WL-SKU-001,Store_12,30day,50
2026-01-03,WL-SKU-001,Store_13,30day,53
2026-01-03,WL-SKU-001,Store_14,30day,52
2026-01-03,WL-SKU-001,Store_15,30day,47
2026-01-03,WL-SKU-001,Store_16,30day,53
2026-01-03,WL-SKU-001,Store_17,30day,38
2026-01-03,WL-SKU-001,Store_18,30day,40
2026-01-03,WL-SKU-001,Store_19,30day,37
2026-01-03,WL-SKU-001,Store_20,30day,42
2026-01-04,WL-SKU-001,Store_01,30day,38
2026-01-04,WL-SKU-001,Store_02,30day,45
2026-01-04,WL-SKU-001,Store_03,30day,36
2026-01-04,WL-SKU-001,Store_04,30day,52
2026-01-04,WL-SKU-001,Store_05,30day,41
2026-01-04,WL-SKU-001,Store_06,30day,48
2026-01-04,WL-SKU-001,Store_07,30day,42
2026-01-04,WL-SKU-001,Store_08,30day,45
2026-01-04,WL-SKU-001,Store_09,30day,46
2026-01-04,WL-SKU-001,Store_10,30day,39
2026-01-04,WL-SKU-001,Store_11,30day,53
2026-01-04,WL-SKU-001,Store_12,30day,50
2026-01-04,WL-SKU-001,Store_13,30day,53
2026-01-04,WL-SKU-001,Store_14,30day,52
2026-01-04,WL-SKU-001,Store_15,30day,47
2026-01-04,WL-SKU-001,Store_16,30day,52
2026-01-04,WL-SKU-001,Store_17,30day,38
2026-01-04,WL-SKU-001,Store_18,30day,40
2026-01-04,WL-SKU-001,Store_19,30day,36
